,f,i,cats,mr,c,smp,srd,best
168,Ackley,200,50,0.6,0.5,20,0.1,3.1109130461538013
169,Ackley,200,50,0.6,0.5,20,0.3,0.3239297198214328
170,Ackley,200,50,0.6,0.5,20,0.5,0.0060295080168839554
171,Ackley,200,50,0.6,0.5,20,0.8,1.434218117157826e-06
172,Ackley,200,50,0.6,0.5,40,0.1,1.4244459323044834
173,Ackley,200,50,0.6,0.5,40,0.3,0.48051795957266963
174,Ackley,200,50,0.6,0.5,40,0.5,0.003647260376528738
175,Ackley,200,50,0.6,0.5,40,0.8,2.7964658326773417e-06
176,Ackley,200,50,0.6,1.0,5,0.1,0.9192296680687453
177,Ackley,200,50,0.6,1.0,5,0.3,0.4643066918946066
178,Ackley,200,50,0.6,1.0,5,0.5,0.0037182988514072868
179,Ackley,200,50,0.6,1.0,5,0.8,1.4639328363319493e-05
180,Ackley,200,50,0.6,1.0,10,0.1,2.6313933027904963
181,Ackley,200,50,0.6,1.0,10,0.3,0.1507378891140303
182,Ackley,200,50,0.6,1.0,10,0.5,0.0017786130396584277
183,Ackley,200,50,0.6,1.0,10,0.8,1.1213278221067213e-05
184,Ackley,200,50,0.6,1.0,20,0.1,1.9141062325053508
185,Ackley,200,50,0.6,1.0,20,0.3,0.3778178392011893
186,Ackley,200,50,0.6,1.0,20,0.5,0.004411211512462376
187,Ackley,200,50,0.6,1.0,20,0.8,0.00010579475303673647
188,Ackley,200,50,0.6,1.0,40,0.1,1.7401867362361014
189,Ackley,200,50,0.6,1.0,40,0.3,0.0081519647343673
190,Ackley,200,50,0.6,1.0,40,0.5,0.016928995957659954
191,Ackley,200,50,0.6,1.0,40,0.8,8.094782520418065e-05
192,Ackley,200,50,0.6,1.5,5,0.1,3.1919208451520373
193,Ackley,200,50,0.6,1.5,5,0.3,0.5387698039576923
194,Ackley,200,50,0.6,1.5,5,0.5,0.033289510463771155
195,Ackley,200,50,0.6,1.5,5,0.8,1.96802578753541e-05
196,Ackley,200,50,0.6,1.5,10,0.1,2.946959471393314
197,Ackley,200,50,0.6,1.5,10,0.3,0.3820875186821344
198,Ackley,200,50,0.6,1.5,10,0.5,0.004667794509569223
199,Ackley,200,50,0.6,1.5,10,0.8,2.6066865715268506e-05
200,Ackley,200,50,0.6,1.5,20,0.1,2.0057316449396443
201,Ackley,200,50,0.6,1.5,20,0.3,0.03889090268335993
202,Ackley,200,50,0.6,1.5,20,0.5,0.0464961902954788
203,Ackley,200,50,0.6,1.5,20,0.8,7.215119464110131e-06
204,Ackley,200,50,0.6,1.5,40,0.1,0.4016000343533155
205,Ackley,200,50,0.6,1.5,40,0.3,0.09640476066513815
